,Chiral_indice_n,Chiracl_indice_m,Initial_atomic_coordinate_u,Initial_atomic_coordinate_v,Initial_atomic_coordinate_w,Calculated_atomic_coordinate_u,Calculated_atomic_coordiante_v,Calculated_atomic_coordinate_w
154,3,2,790611,6259,95397,803292,637138,954006
155,3,2,453671,227621,936426,453242,215873,936204
156,4,1,798626,65477,39988,812277,658326,40916
157,4,1,794352,691116,111416,807185,697932,111388
158,4,1,212784,427407,63797,198483,426673,63134
159,4,1,560308,783502,16178,565293,801366,16747
160,4,1,516033,766319,87607,518262,783893,87303
161,4,1,681264,79623,135226,690505,811887,135963
162,4,1,643856,798626,206655,653283,815991,206572
163,4,1,723194,439692,16178,733703,431654,15953
164,4,1,356144,201374,39988,347059,184129,39263
165,4,1,233681,249714,87607,220388,238728,87568
166,4,1,256813,228213,159036,243065,215492,158191
167,4,1,308884,603235,111416,298531,612095,111617
168,4,1,276806,560308,182845,265631,568083,182279
169,4,1,427407,714623,230464,424498,730007,230823
170,4,1,385034,681264,301893,38078,69492,301449
171,4,1,766319,750286,254274,779609,761253,255146
172,4,1,743187,771787,325702,756305,783672,325794
173,4,1,798626,65477,373321,812277,658325,374249
174,4,1,794352,691116,44475,807184,697932,444721
175,4,1,572593,285377,63797,575221,270349,64318
176,4,1,614966,318736,135226,619361,306347,134796
177,4,1,439692,216498,182845,434731,199076,183122
178,4,1,483967,233681,254274,48176,214825,253602
179,4,1,201374,34523,206655,18762,340879,20662
180,4,1,205648,308884,278083,194081,302779,277111
181,4,1,228213,471401,325702,216119,472308,325774
182,4,1,212784,427407,397131,198483,426673,396467
183,4,1,560308,783502,349512,565293,801366,350081
184,4,1,516033,766319,42094,518261,783893,420636
185,4,1,681264,79623,468559,690505,811887,469296
186,4,1,643856,798626,539988,653282,815991,539906
187,4,1,771787,528599,159036,784977,528527,159828
188,4,1,787216,572593,230464,80108,573294,230421
189,4,1,691116,396765,278083,70063,387602,278662
190,4,1,723194,439692,349512,733703,431653,349287
191,4,1,318736,20377,301893,309563,187916,301969
192,4,1,356144,201374,373321,347059,184129,372596
193,4,1,233681,249714,42094,220388,238728,420901
194,4,1,256813,228213,492369,243066,215492,491525
195,4,1,308884,603235,44475,298531,612095,444951
196,4,1,276806,560308,516178,265631,568083,515612
197,4,1,427407,714623,563797,424498,730007,564156
198,4,1,385034,681264,635226,38078,69492,634783
199,4,1,766319,750286,587607,779608,761253,588479
200,4,1,743187,771787,659036,756305,783671,659127
201,4,1,798626,65477,706655,812277,658326,707583
202,4,1,794352,691116,778083,807185,697932,778054
203,4,1,572593,285377,397131,575221,270348,397652
204,4,1,614966,318736,468559,619361,306346,468129
205,4,1,439692,216498,516178,434732,199076,516456
206,4,1,483967,233681,587607,48176,214825,586935
207,4,1,201374,34523,539988,18762,340879,539953
208,4,1,205648,308884,611416,194081,30278,610445
209,4,1,228213,471401,659036,216119,472308,659108
210,4,1,212784,427407,730464,198483,426673,7298
211,4,1,560308,783502,682845,565293,801366,683414
212,4,1,516033,766319,754274,518261,783893,75397
213,4,1,681264,79623,801893,690505,811887,80263
214,4,1,643856,798626,873321,653282,81599,873239
215,4,1,771787,528599,492369,784977,528527,493161
216,4,1,787216,572593,563797,80108,573293,563754
217,4,1,691116,396765,611416,70063,387602,611996
218,4,1,723194,439692,682845,733703,431653,68262
219,4,1,318736,20377,635226,309563,187917,635302
220,4,1,356144,201374,706655,347059,184129,705929
221,4,1,233681,249714,754274,220388,238728,754234
222,4,1,256813,228213,825702,243066,215492,824858
223,4,1,308884,603235,778083,298531,612095,778284
224,4,1,276806,560308,849512,265631,568083,848945
225,4,1,427407,714623,897131,424498,730006,89749
226,4,1,385034,681264,968559,38078,694919,968116
227,4,1,766319,750286,92094,779609,761253,921812
228,4,1,743187,771787,992369,756305,783672,99246
229,4,1,572593,285377,730464,575221,270349,730985
230,4,1,614966,318736,801893,619361,306347,801462
231,4,1,439692,216498,849512,434732,199076,849789
232,4,1,483967,233681,92094,48176,214825,920268
233,4,1,201374,34523,873321,18762,340879,873286
234,4,1,205648,308884,94475,194081,302779,943778
235,4,1,228213,471401,992369,216119,472308,992441
236,4,1,771787,528599,825702,784977,528527,826495
237,4,1,787216,572593,897131,80108,573293,897087
238,4,1,691116,396765,94475,700631,387602,945329
239,4,1,318736,20377,968559,309563,187917,968636
240,4,2,818516,679132,68071,831432,686446,68597
241,4,2,805424,733468,187119,818275,743529,186857
242,4,2,236666,524781,44262,225916,524519,43942
243,4,2,548504,797602,11569,55049,808905,115307
244,4,2,68065,818379,210928,687882,83037,211197
245,4,2,617524,815911,329976,62163,827636,329481
246,4,2,818516,679132,401404,830527,686314,401001
247,4,2,181484,320868,68071,168569,313554,68597
248,4,2,194576,266532,187119,181726,256471,186857
249,4,2,341126,660466,1395,33573,666125,140009
250,4,2,283467,595006,258547,276086,597625,258189
251,4,2,406751,717881,353785,40435,724498,35428
252,4,2,341126,660466,472833,33552,665535,472755
253,4,2,734718,804882,425214,745029,817994,425541
254,4,2,68065,818379,544262,688191,831602,543768
255,4,2,777017,776098,6395,788083,787117,63977
256,4,2,734718,804882,758547,74462,818039,758147
257,4,2,763334,475219,44262,774084,475481,43942
258,4,2,451496,202398,11569,44951,191095,115307
259,4,2,31935,181621,210928,312118,16963,211197
260,4,2,382476,184089,329976,37837,172363,329481
261,4,2,184363,384187,282357,172342,379864,28275
262,4,2,181484,320868,401404,169473,313686,401001
263,4,2,20307,453314,496642,191546,451036,497083
264,4,2,184363,384187,61569,172162,379033,615237
265,4,2,477052,764369,568071,476946,774451,568352
266,4,2,406751,717881,687119,403295,724069,686613
267,4,2,548504,797602,782357,551101,809031,782525
268,4,2,477052,764369,901404,476291,774033,900939
269,4,2,805424,733468,853785,818306,74349,854149
270,4,2,777017,776098,972833,787695,787174,972535
271,4,2,658874,339534,1395,66427,333875,140009
272,4,2,716533,404994,258547,723914,402376,258189
273,4,2,593249,282119,353785,59565,275502,35428
274,4,2,658874,339534,472833,66448,334465,472755
275,4,2,265282,195118,425214,254971,182006,425541
276,4,2,31935,181621,544262,311808,168398,543768
277,4,2,222983,223902,6395,211917,212882,63977
278,4,2,265282,195118,758547,25538,181961,758147
279,4,2,236666,524781,710928,226492,52466,711321
280,4,2,20307,453314,829976,191633,450293,829783
281,4,2,283467,595006,925214,276282,598218,925528
282,4,2,617524,815911,996642,621869,827591,996998
283,4,2,815637,615813,282357,827658,620136,28275
284,4,2,79693,546686,496642,808454,548964,497083
285,4,2,815637,615813,61569,827838,620968,615237
286,4,2,522948,235631,568071,523054,225549,568352
287,4,2,593249,282119,687119,596704,275931,686613
288,4,2,451496,202398,782357,448899,190969,782525
289,4,2,522948,235631,901404,523709,225967,900939
290,4,2,194576,266532,853785,181694,25651,854149
291,4,2,222983,223902,972833,212305,212826,972535
292,4,2,763334,475219,710928,773508,47534,711321
293,4,2,79693,546686,829976,808367,549706,829783
294,4,2,716533,404994,925214,723718,401781,925528
295,4,2,382476,184089,996642,378131,172409,996999
296,4,3,837462,697133,28817,846738,705715,29155
297,4,3,818309,760281,78367,825667,768864,78923
298,4,3,595393,829463,37826,595007,837903,38388
299,4,3,698333,837316,82871,701387,845584,83443
300,4,3,622642,835066,132421,620405,839401,132917
301,4,3,839027,673029,123412,846657,676577,123631
302,4,3,827065,740917,172962,831618,743802,173307
303,4,3,833465,719817,267556,834872,719244,267408
304,4,3,178986,43399,179,166966,433431,1428
305,4,3,16185,352321,5134,145027,345791,50974
306,4,3,396844,728129,42331,392004,73275,42721
307,4,3,318789,657565,9188,308327,657504,92203
308,4,3,424606,748578,136925,41809,749982,137304
309,4,3,343744,682458,186475,333254,680317,186813
310,4,3,720939,833194,177466,722773,83738,177771
311,4,3,649007,838255,227016,647165,842441,227115
312,4,3,741954,826673,272061,743994,830405,271917
313,4,3,674298,839006,32161,67623,845414,321493
314,4,3,837462,697133,362151,843249,69801,361583
315,4,3,839027,673029,456745,851805,676139,456126
316,4,3,279061,166806,10799,268328,158256,10235
317,4,3,206004,206743,55844,19154,197577,55292
318,4,3,258046,173327,105394,244261,160287,104841
319,4,3,189397,462432,96385,173905,457925,96454
320,4,3,165163,378736,145935,147886,368933,145976
321,4,3,202045,491143,19098,188853,484912,191226
322,4,3,170889,406025,240529,157101,396106,240894
323,4,3,452911,767237,23152,446991,768093,231697
324,4,3,369825,706036,28107,362166,703963,281388
325,4,3,481555,78397,326115,479099,786301,326133
326,4,3,396844,728129,375664,393293,728694,375872
327,4,3,761225,817797,366655,767902,823311,366168
328,4,3,698333,837316,416205,705207,844251,415963
329,4,3,778614,806632,46125,790957,813527,460641
330,4,3,720939,833194,510799,731672,841744,510235
331,4,3,797955,508857,24313,803688,51235,24482
332,4,3,460964,188807,15304,455647,182789,14772
333,4,3,547089,232763,64853,544283,227861,64456
334,4,3,432542,178514,109898,424521,167834,109233
335,4,3,518445,21603,159448,512985,205154,158876
336,4,3,192741,22223,150439,175639,207778,150182
337,4,3,238775,182203,199989,2251,166578,199734
338,4,3,181691,239719,245034,166725,225,245184
339,4,3,221386,193368,294583,207823,175615,294794
340,4,3,216839,519919,285574,206572,513734,286013
341,4,3,178986,43399,335124,16871,425216,335682
342,4,3,233674,548551,380169,22767,544873,380507
343,4,3,189397,462432,429718,181227,455462,430106
344,4,3,510333,798657,420709,512335,802733,420582
345,4,3,424606,748578,470259,423944,750994,470136
346,4,3,539036,811193,515304,544353,817211,514772
347,4,3,452911,767237,564853,455717,77214,564456
348,4,3,793996,793257,555844,80846,802423,555292
349,4,3,741954,826673,605394,755739,839713,604841
350,4,3,807259,77777,650439,824361,792222,650182
351,4,3,761225,817797,699989,7749,833423,699734
352,4,3,727034,395438,69358,72853,393343,69192
353,4,3,783161,480081,118907,786311,479148,118908
354,4,3,704861,368462,163953,703149,360996,163471
355,4,3,766326,451449,213502,766225,444452,213336
356,4,3,404607,170537,204493,39472,154084,203959
357,4,3,489667,201343,254043,482451,184268,253707
358,4,3,377358,164934,299088,366307,143914,299034
359,4,3,460964,188807,348637,45518,170495,348663
360,4,3,172935,259083,339628,161204,24497,340097
361,4,3,206004,206743,389178,197336,191984,389703
362,4,3,166535,280183,434223,156687,268313,434661
363,4,3,192741,22223,483772,183915,208873,484359
364,4,3,252428,576834,474763,24782,57553,474832
365,4,3,202045,491143,524313,196312,48765,524481
366,4,3,272966,604562,569358,27147,606657,569191
367,4,3,216839,519919,618907,213689,520853,618908
368,4,3,567458,821486,609898,575479,832166,609233
369,4,3,481555,78397,659448,487015,794846,658877
370,4,3,595393,829463,704493,605281,845916,703959
371,4,3,510333,798657,754043,517549,815731,753707
372,4,3,818309,760281,745034,833274,774999,745184
373,4,3,778614,806632,794583,792177,824385,794794
374,4,3,827065,740917,839628,838796,75503,840097
375,4,3,793996,793257,889178,802664,808016,889703
376,4,3,83815,647679,218007,84059,644594,218031
377,4,3,681211,342435,258547,677597,329885,258171
378,4,3,747572,423166,308097,746176,414285,307773
379,4,3,656256,317542,353142,654284,304519,352976
380,4,3,727034,395438,402691,730452,388486,402298
381,4,3,350993,161745,393682,343475,143347,394128
382,4,3,432542,178514,443232,430586,164984,443698
383,4,3,325702,160994,488277,320556,146816,488861
384,4,3,404607,170537,537826,404993,162097,538388
385,4,3,162538,302867,528817,153262,294285,529155
386,4,3,181691,239719,578367,174333,231136,578923
387,4,3,160973,326971,623412,153343,323423,623631
388,4,3,172935,259083,672962,168382,256198,673308
389,4,3,295139,631538,663953,296851,639004,663472
390,4,3,233674,548551,713502,233775,555548,713336
391,4,3,318789,657565,758547,322403,670115,758171
392,4,3,252428,576834,808097,253824,585715,807773
393,4,3,622642,835066,799088,633693,856086,799034
394,4,3,539036,811193,848637,54482,829505,848663
395,4,3,649007,838255,893682,656525,856653,894128
396,4,3,567458,821486,943232,569414,835015,943698
397,4,3,833465,719817,934223,843313,731687,934661
398,4,3,807259,77777,983772,816084,791128,984359
399,4,3,834837,621264,312601,835695,616159,312218
400,4,3,829111,593975,407196,836068,591466,406522
401,4,3,630175,293964,447736,632769,285542,447819
402,4,3,704861,368462,497286,711513,364731,497261
403,4,3,603156,271871,542331,607996,26725,542721
404,4,3,681211,342435,59188,691673,342496,592203
405,4,3,301667,162684,582871,298613,154416,583443
406,4,3,377358,164934,632421,379595,160599,632917
407,4,3,279061,166806,677466,277227,16262,677771
408,4,3,350993,161745,727016,352835,157558,727115
409,4,3,16185,352321,718007,15941,355407,718031
410,4,3,166535,280183,767556,165128,280756,767408
411,4,3,165163,378736,812601,164304,383841,812218
412,4,3,162538,302867,862151,15675,30199,861583
413,4,3,343744,682458,853142,345715,695481,852976
414,4,3,272966,604562,902691,269548,611514,902298
415,4,3,369825,706036,947736,367231,714459,947819
416,4,3,295139,631538,997286,288487,635269,997261
417,4,3,674298,839006,988277,679444,853184,988861
418,4,3,821014,56601,50179,833034,566569,501428
419,4,3,83815,647679,55134,854973,654209,550974
420,4,3,810603,537568,596385,826095,542075,596454
421,4,3,834837,621264,645935,852113,631067,645976
422,4,3,575394,251422,636925,58191,250018,637304
423,4,3,656256,317542,686475,666747,319683,686813
424,4,3,547089,232763,73152,553009,231907,731697
425,4,3,630175,293964,78107,637834,296037,781389
426,4,3,258046,173327,772061,256007,169595,771917
427,4,3,325702,160994,82161,32377,154586,821493
428,4,3,238775,182203,866655,232098,176689,866168
429,4,3,301667,162684,916205,294793,15575,915963
430,4,3,170889,406025,907196,163932,408534,906522
431,4,3,160973,326971,956745,148195,323861,956126
432,4,3,797955,508857,69098,811147,515088,691226
433,4,3,829111,593975,740529,842899,603894,740894
434,4,3,783161,480081,785574,793428,486266,786013
435,4,3,821014,56601,835124,83129,574784,835682
436,4,3,518445,21603,826115,520901,213699,826133
437,4,3,603156,271871,875664,606707,271307,875872
438,4,3,489667,201343,920709,487665,197268,920582
439,4,3,575394,251422,970259,576057,249006,970136
440,4,3,221386,193368,96125,209043,186473,960641
441,4,3,766326,451449,880169,772329,455127,880507
442,4,3,810603,537568,929718,818773,544538,930106
443,4,3,747572,423166,974763,752181,42447,974832
444,5,1,680778,825935,26903,68039,83773,27645
445,5,1,335424,662004,10773,319948,658136,11449
446,5,1,493,779265,48408,483656,780342,49284
447,5,1,460003,760702,107548,449358,756888,108202
448,5,1,790058,775,64537,798133,788111,65134
449,5,1,773387,79141,123677,780109,80209,123988
450,5,1,825735,683244,161311,839734,692557,161619
451,5,1,821683,709652,220451,83339,716871,220549
452,5,1,24609,195169,1615,243093,183055,15505
453,5,1,268172,184877,7529,268118,17091,74254
454,5,1,203776,470973,32279,185882,458761,32915
455,5,1,191385,438213,91419,175837,421486,9147
456,5,1,28201,601606,129053,267943,589257,129742
457,5,1,258526,569685,188193,243481,553304,188368
458,5,1,622328,823403,145182,61844,825617,14596
459,5,1,591065,817144,204322,585685,81734,204668
460,5,1,731828,815123,241956,73483,820119,242453
461,5,1,707367,822182,301096,707249,825113,30101
462,5,1,823803,625076,43032,842398,640649,42749
463,5,1,604424,28423,59161,618792,285121,58162
464,5,1,441131,192369,96795,449241,184115,95947
465,5,1,473932,205039,155935,482679,194294,15499
466,5,1,185669,26609,112924,176197,246423,11286
467,5,1,196247,244233,172064,18672,220291,171647
468,5,1,176197,374924,209698,159533,35124,209887
469,5,1,173556,345045,268838,157636,319429,268597
470,5,1,395576,71577,225827,383738,706452,226111
471,5,1,364807,689861,284967,351176,678132,284801
472,5,1,526068,794961,322601,517421,790592,322539
473,5,1,493,779265,381741,482586,774824,381113
474,5,1,803753,755767,33873,811154,761092,338874
475,5,1,790058,775,39787,795806,781988,397594
476,5,1,825735,683244,494644,839533,697156,494388
477,5,1,76248,462952,80666,780589,470233,80357
478,5,1,780792,495969,139806,797129,501183,139513
479,5,1,664576,337996,17744,679193,334049,177153
480,5,1,692269,367515,23658,707111,362553,23628
481,5,1,319222,174065,193569,319468,153651,193108
482,5,1,347665,173656,252709,349393,152931,252364
483,5,1,226613,20859,290343,219964,183784,290468
484,5,1,24609,195169,349483,242806,173711,349563
485,5,1,219208,504031,306472,203449,484973,306279
486,5,1,203776,470973,365612,187477,452166,36512
487,5,1,307731,632485,403247,291865,621341,402822
488,5,1,28201,601606,462386,264424,591171,461692
489,5,1,652335,826344,419376,64876,828985,418915
490,5,1,622328,823403,478515,616262,82775,47753
491,5,1,75391,804831,51615,756907,816945,515505
492,5,1,731828,815123,57529,731882,82909,574254
493,5,1,808615,561787,258085,82272,563732,25833
494,5,1,81784,593913,317225,83113,597007,317231
495,5,1,539997,239298,274214,54947,226306,274262
496,5,1,572583,260535,333354,583376,249987,333405
497,5,1,408935,182856,370989,414098,16777,37171
498,5,1,441131,192369,430128,448293,181191,430889
499,5,1,178317,290348,387118,167525,269447,387202
500,5,1,185669,26609,446257,175325,24667,446195
501,5,1,18216,406087,483892,163523,389262,483726
502,5,1,176197,374924,543032,157602,359351,542749
503,5,1,427417,739465,500021,414614,738275,499323
504,5,1,395576,71577,559161,381208,71488,558162
505,5,1,558869,807631,596795,550759,815885,595947
506,5,1,526068,794961,655935,517321,805706,65499
507,5,1,814331,73391,612924,823803,753578,61286
508,5,1,803753,755767,672064,81328,779709,671647
509,5,1,741474,430315,354859,75467,427966,355425
510,5,1,76248,462952,413999,778713,465471,414277
511,5,1,635193,310139,451634,648797,308127,452635
512,5,1,664576,337996,510773,680052,341864,511449
513,5,1,292633,177818,467763,291126,162269,468641
514,5,1,319222,174065,526903,31961,16227,527645
515,5,1,209942,225,564537,201867,211889,565134
516,5,1,226613,20859,623677,219891,19791,623988
517,5,1,23752,537048,580666,219411,529767,580357
518,5,1,219208,504031,639806,202871,498817,639513
519,5,1,335424,662004,67744,320806,665951,677153
520,5,1,307731,632485,73658,292889,637447,73628
521,5,1,680778,825935,693569,680532,846349,693108
522,5,1,652335,826344,752709,650607,847069,752364
523,5,1,773387,79141,790343,780036,816216,790468
524,5,1,75391,804831,849483,757194,826289,849563
525,5,1,826444,654955,435505,841784,664249,435732
526,5,1,796224,529027,532279,814118,541239,532915
527,5,1,808615,561787,591419,824163,578514,59147
528,5,1,507,220735,548408,516344,219658,549284
529,5,1,539997,239298,607548,550642,243112,608202
530,5,1,377672,176597,645182,38156,174383,64596
531,5,1,408935,182856,704322,414315,18266,704668
532,5,1,174265,316756,661311,160266,307443,661619
533,5,1,178317,290348,720451,16661,283129,720549
534,5,1,191385,438213,758085,17728,436268,75833
535,5,1,18216,406087,817225,16887,402993,817231
536,5,1,460003,760702,774214,45053,773694,774262
537,5,1,427417,739465,833354,416624,750013,833405
538,5,1,591065,817144,870989,585902,83223,87171
539,5,1,558869,807631,930128,551707,818809,930889
540,5,1,821683,709652,887118,832475,730553,887202
541,5,1,814331,73391,946257,824675,75333,946195
542,5,1,71799,398394,629053,732057,410743,629742
543,5,1,741474,430315,688193,756519,446696,688368
544,5,1,604424,28423,725827,616262,293548,726111
545,5,1,635193,310139,784967,648824,321868,784801
546,5,1,268172,184877,741956,26517,179881,742453
547,5,1,292633,177818,801096,292751,174887,80101
548,5,1,196247,244233,83873,188846,238908,838874
549,5,1,209942,225,89787,204193,218012,897594
550,5,1,258526,569685,854859,24533,572034,855425
551,5,1,23752,537048,913999,221287,534529,914277
552,5,1,364807,689861,951634,351203,691873,952635
553,5,1,707367,822182,967763,708874,837731,968641
554,5,1,823803,625076,709698,840467,64876,709887
555,5,1,826444,654955,768838,842364,680571,768597
556,5,1,780792,495969,806472,796551,515027,806278
557,5,1,796224,529027,865612,812523,547834,86512
558,5,1,473932,205039,822601,482579,209409,822539
559,5,1,507,220735,881741,517414,225176,881113
560,5,1,347665,173656,919376,35124,171015,918915
561,5,1,377672,176597,978515,383738,17225,97753
562,5,1,173556,345045,935505,158216,335751,935732
563,5,1,174265,316756,994644,160467,302844,994389
564,5,1,692269,367515,903247,708135,378659,902822
565,5,1,71799,398394,962386,735577,408829,961692
566,5,1,81784,593913,983892,836477,610738,983726
567,5,2,712201,839176,13758,718752,84995,13639
568,5,2,535508,812967,26578,537723,824081,2679
569,5,2,480367,786506,7786,480085,796017,77763
570,5,2,800711,792748,52219,80951,800935,5231
571,5,2,770442,817544,103501,777756,826235,103247
572,5,2,831322,741592,141963,840186,747541,142132
573,5,2,812967,777458,193245,824224,787161,193091
